,index,focus_intensity,background_intensity,focus_std,background_std,centre_distance,segment
0,0,427.7931034482759,15.977421314758082,14.972110417994145,12.345832545990962,453,10
1,1,529.9655172413793,15.873285312088175,17.321469155299116,11.572393085337692,357,10
2,2,857.1379310344828,15.708663506135652,17.664935339450523,11.728740430863091,320,10
3,3,658.7241379310345,15.994988575878416,18.67858178128857,11.9001912131495,357,10
4,4,481.3448275862069,16.050010482808194,22.778204739995864,12.371714112496964,453,10
5,5,790.0344827586207,15.81643105307296,22.13357997847379,12.147547624341893,357,10
6,6,712.3448275862069,15.350991160211539,21.638528635792166,11.620394904707485,226,10
7,7,328.9310344827586,15.569139468414656,10.184271289025352,12.290307129287829,160,10
8,8,933.2413793103449,15.16585086172962,31.807237489574486,11.144590813512622,226,10
9,9,422.9310344827586,16.414849646579608,13.26631990257402,12.490826174244516,357,10
10,10,940.448275862069,15.913011946122644,18.46074345067084,12.26525588597291,320,10
11,11,860.7241379310345,15.624888753872222,25.83221265133387,11.849886293456281,160,10
12,12,736.3448275862069,15.320981447568844,18.439604794308188,11.604941579206034,0,10
13,13,931.6551724137931,15.215642061305173,22.90501505403229,11.945878181490757,160,10
14,14,956.2758620689655,15.627815382772253,24.305379781558702,12.485124444676455,320,10
15,15,660.6551724137931,16.075476219000837,17.720581959130843,12.40410685880257,357,10
16,16,601.0,15.882979770319533,17.585260285544393,13.116513984374029,226,10
17,17,591.0689655172414,15.741430839138099,21.790429779247773,11.484277683462324,160,10
18,18,556.448275862069,15.697045773502884,17.80659739592188,12.491439417534268,226,10
19,19,735.3793103448276,15.721689999828852,17.289450227799268,11.548304603288752,357,10
20,20,615.7241379310345,15.91095924113026,16.761813233583254,12.04142247333257,453,10
21,21,532.2068965517242,15.278819165140598,15.630163831613906,11.339425462605107,357,10
22,22,642.0344827586207,15.783848773725376,20.625532818397836,12.679328073866,320,10
23,23,617.6896551724138,16.02743072789197,23.620714825055806,11.950011556344476,357,10
24,24,626.4827586206897,15.876172363038902,17.625648806165625,11.944648868606233,453,10
